defined_class	defined_class_label	french_term	definition	definition_source	act_source
GCDE:0045473	facility supply	fourniture taxable importée	an exempt supply other than a prescribed supply of property or a service in respect of which a the property is made available, or the service is rendered, to an individual at a public hospital or qualifying facility as part of a medically necessary process of health care for the individual for the purpose of maintaining health, preventing disease, diagnosing or treating an injury, illness or disability or providing palliative health care, which processi is undertaken in whole or in part at the public hospital or qualifying facility,ii is reasonably expected to take place under the active direction or supervision, or with the active involvement, ofA a physician acting in the course of the practise of medicine,B a midwife acting in the course of the practise of midwifery,C a nurse practitioner acting in the course of the practise of a nurse practitioner, orD a prescribed person acting in prescribed circumstances, andiii in the case of chronic care that requires the individual to stay overnight at the public hospital or qualifying facility, requires or is reasonably expected to require thatA a registered nurse be at the public hospital or qualifying facility at all times when the individual is at the public hospital or qualifying facility,B a physician or nurse practitioner be at, or be on-call to attend at, the public hospital or qualifying facility at all times when the individual is at the public hospital or qualifying facility,C throughout the process, the individual be subject to medical management and receive a range of therapeutic health care services that includes registered nursing care, andD it not be the case that all or substantially all of each calendar day or part during which the individual stays at the public hospital or qualifying facility is time during which the individual does not receive therapeutic health care services referred to in clause C, andb if the supplier does not operate the public hospital or qualifying facility, an amount, other than a nominal amount, is paid or payable as medical funding to the supplier;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045474	home medical supply	chargement	an exempt supply other than a facility supply or a prescribed supply of property or a service a that is madei as part of a medically necessary process of health care for an individual for the purpose of maintaining health, preventing disease, diagnosing or treating an injury, illness or disability or providing palliative health care, andii after a physician acting in the course of the practise of medicine, a nurse practitioner acting in the course of the practise of a nurse practitioner or a prescribed person acting in prescribed circumstances has identified or confirmed that it is appropriate for the process to take place at the individual s place of residence or lodging other than a public hospital or a qualifying facility,b in respect of which the property is made available, or the service is rendered, to the individual at the individual s place of residence or lodging other than a public hospital or a qualifying facility, on the authorization of a person who is responsible for coordinating the process and under circumstances in which it is reasonable to expect that the person will carry out that responsibility in consultation with, or with ongoing reference to instructions for the process given by, a physician acting in the course of the practise of medicine, a nurse practitioner acting in the course of the practise of a nurse practitioner or a prescribed person acting in prescribed circumstances,c all or substantially all of which is of property or a service other than meals, accommodation, domestic services of an ordinary household nature, assistance with the activities of daily living and social, recreational and other related services to meet the psycho-social needs of the individual, andd in respect of which an amount, other than a nominal amount, is paid or payable as medical funding to the supplier;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045475	midwife	marge de transfert de risques	a person who is entitled under the laws of a province to practise the profession of midwifery;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045476	non-creditable tax charged	établissement admissible	in respect of property or a service for a claim period of a person, means the amount, if any, by which a the total in this section referred to as  the total tax charged in respect of the property or service  of all amounts each of which isi tax in respect of the supply, importation or bringing into a participating province of the property or service that became payable by the person during the period or that was paid by the person during the period without having become payable other than tax deemed to have been paid by the person or in respect of which the person is, by reason only of section 226, not entitled to claim an input tax credit,ii tax deemed under subsection 1296, 129.14, 1713 or 1834 or section 191 to have been collected during the period by the person in respect of the property or service,ii.1 where the person is not a charity to which subsection 225.12 applies, tax deemed under subsection 1835 or 6 to have been collected during the period by the person in respect of the property or service,iii tax, calculated on the amount of an allowance in respect of the property or service, that is deemed under section 174 to have been paid during the period by the person,iv tax deemed under section 175 or 180 to have been paid during the period by the person in respect of the property or service, orv an amount in respect of the property or service that is required under subsection 1297 or paragraph 1714b to be added in determining the net tax of the person for the period,exceedsb the total of all amounts each of which is included in the total determined under paragraph a andi is included in determining an input tax credit of the person in respect of the property or service for the period,ii for which it can reasonably be regarded the person has obtained or is entitled to obtain a rebate, refund or remission under any other section of this Act or under any other Act of Parliament, oriii is included in an amount adjusted, refunded or credited to or in favour of the person for which a credit note referred to in subsection 2323 has been received by the person or a debit note referred to in that subsection has been issued by the person;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045477	physician	instrument admissible	a person who is entitled under the laws of a province to practise the profession of medicine;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045478	selected public service body	service admissible	a a hospital authority,b a school authority that is established and operated otherwise than for profit,c a university that is established and operated otherwise than for profit,d a public college that is established and operated otherwise than for profit,e a municipality,f a facility operator, org an external supplier;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045479	specified activities	fourniture déterminée d’instrument dérivé	activities referred to in any of clauses 4.1biiiB to D, other than the operation of a public hospital;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045480	specified percentage	service financier déterminé	a in the case of a charity or a qualifying non-profit organization that is not a selected public service body, 50%,b in the case of a hospital authority, a facility operator or an external supplier, 83%,c in the case of a school authority, 68%,d in the case of a university or public college, 67%, ande in the case of a municipality, 100%;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045481	specified provincial percentage	opération	a in the case of a charity, or a qualifying non-profit organization, that is not a selected public service body and that is resident in a participating province, 50%,b in the case of a hospital authority resident in Nova Scotia, 83%,c in the case of a school authority resident in Nova Scotia, 68%,d in the case of a university or public college resident in Nova Scotia, 67%,e in the case of a municipality resident in Nova Scotia or New Brunswick, 57.14%,f despite any of paragraphs a to e, if there is a sales tax harmonization agreement with the government of a participating province that allows for rebates in respect of public service bodies relating to the new harmonized value-added tax system in respect of the participating province and if the participating province is prescribed for the purposes of this paragraph, in the case of a person of a prescribed class resident in the participating province, the prescribed percentage for that class in respect of the participating province, andg in any other case, 0%;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045482	claim period	autorité provinciale	the meaning assigned by subsection 2591.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045483	qualifying non-profit organization	taxe provinciale déterminée	the meaning assigned by subsection 2592.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045484	specified person	valeur déterminée	a a municipality;b a school authority;c a university;d an organization that operates a post-secondary college or post-secondary technical institutei that receives from a government or municipality funds that are paid for the purpose of assisting the organization in the ongoing provision of educational services to the general public, andii the primary purpose of which is to provide programs of instruction in one or more fields of vocational, technical or general education;e a charity, public institution or qualifying non-profit organization that operates a public lending library; orf a prescribed charity, or a prescribed qualifying non-profit organization, the primary purpose of which is the promotion of literacy.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045485	Legion entity	bien meuble corporel	the Dominion Command or any provincial command or branch of the Royal Canadian Legion.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045486	employee PRPP contribution	intrant d’entreprise	a contribution by an employee of an employer to a pooled registered pension plan thata may be deducted by the employee under paragraph 60i of the Income Tax Act in computing their income; andb is remitted by the employer to the PRPP administrator of the plan under a contract with the PRPP administrator in respect of all or a class of the employees of the employer.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045487	employer contribution	activité au Canada	a contribution by an employer to a pension plan that may be deducted by the employer under paragraph 201q of the Income Tax Act in computing its income.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045488	non-qualifying pension entity	recyclage	a pension entity that is not a qualifying pension entity.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045489	qualifying pension entity	montant remboursé	a pension entity of a pension plan other than a pension plan in respect of whicha listed financial institutions made 10% or more of the total employer contributions to the pension plan in the last preceding calendar year in which employer contributions were made to the pension plan; orb it can reasonably be expected that listed financial institutions will make 10% or more of the total employer contributions to the pension plan in the next calendar year in which employer contributions will be required to be made to the pension plan.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045490	receiver	droit sur contenant consigné	a person who is a receiver within the meaning assigned by subsection 2661;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045491	trust	vendeur au détail déterminé	the estate of a deceased individual.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045492	trustee	institution agréée	the personal representative of a deceased individual, but does not include a receiver within the meaning assigned by subsection 2661.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045493	representative	biens déterminés	a a person, other than a trustee in bankruptcy or a receiver, who is administering, winding up, controlling or otherwise dealing with any property, business, commercial activity or estate of a registrant, andb a trustee of a trust that is a registrant.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045494	basic service	taxe provinciale applicable	any of the following services performed at any time in respect of goods, to the extent that, if the goods were held in a bonded warehouse at that time, it would be feasible, given the stage of processing of the goods at that time, to perform that service in the bonded warehouse and it would be permissible to do so according to the Customs Bonded Warehouses Regulations:a disassembling or reassembling, if the goods have been assembled or disassembled for packing, handling or transportation purposes;b displaying;c inspecting;d labelling;e packing;f removing, for the sole purpose of soliciting orders for goods or services, a small quantity of material, or a portion, a piece or an individual object, that represents the goods;g storing;h testing; ori any of the following that do not materially alter the characteristics of the goods:i cleaning,ii complying with any applicable law of Canada or of a province,iii diluting,iv normal maintenance and servicing,v preserving,vi separating defective goods from prime quality goods,vii sorting or grading, andviii trimming, filing, slitting or cutting.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045495	bonded warehouse	grande entreprise	the meaning assigned by subsection 21 of the Customs Act.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045496	labelling	bien ou service déterminé	marking, tagging and ticketing.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045497	packing	crédit de taxe sur les intrants provincial déterminé	unpacking, repacking, packaging and repackaging.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045498	processing	emplacement de camping	adjusting, altering, assembling and any basic service.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045499	actual amount	voyage organisé	any amount that is required to be reported in an information return that a person is required to file under subsection 3 for a fiscal year of the person and that isa a tax amount for the fiscal year or a previous fiscal year of the person; orb an amount calculated using only tax amounts for the fiscal year or a previous fiscal year of the person, unless all of those tax amounts are required to be reported in the information return.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045500	tax benefit	bail de longue durée	a reduction, avoidance or deferral of tax, net tax or other amount payable under this Part or an increase in a refund or rebate under this Part.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045501	rate change	première utilisation	any change in any rate of tax imposed under this Part.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045502	electronic cash register	pourcentage de superficie totale	a device that keeps a register or supporting documents through the means of an electronic device or computer system designed to record transaction data or any other electronic point-of-sale system.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045503	electronic suppression of sales device	fraction admissible de teneur en taxe	a a software program that falsifies the records of electronic cash registers, including transaction data and transaction reports; orb a hidden programming option, whether preinstalled or installed at a later time, embedded in the operating system of an electronic cash register or hardwired into the electronic cash register thati may be used to create a virtual second till, orii may eliminate or manipulate transaction records, which may or may not be preserved in digital formats, in order to represent the actual or manipulated record of transactions in the electronic cash register.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045504	planning activity	proche	the same meaning as in subsection 285.11.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045505	section 325 avoidance planning	résidence autonome	by a person, means a planning activity in respect of a transaction or series of transactions that meets the following conditions:a the transaction or series of transactions is, or is part of, a section 325 avoidance transaction; andb one of the purposes of the transaction or series of transactions is toi reduce a transferee s joint and several, or solidary, liability under section 325 for an amount payable or remittable under this Part by a transferor or for an amount that would be payable or remittable by the transferor but for a transaction or series of transactions in which an amount, that is or may be relevant in determining any obligations or entitlements under this Part of a person that dealt at arm s length with the transferor or transferee immediately before the transaction or series of transactions, is used directly or indirectly to provide a tax benefit for the transferor or transferee, orii reduce the person or another person s ability to pay any amount payable or remittable, or that may become payable or remittable, under this Part.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045506	section 325 avoidance transaction	fourniture connexe	a transaction or series of transactions in respect of whicha the conditions in paragraph 3255a or b are met; orb if subsection 3255 applied to the transaction or series of transactions, the amount determined under subparagraph 3255cii would exceed the amount determined under subparagraph 3255ci.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045507	culpable conduct	organisme de bienfaisance	conduct, whether an act or a failure to act, thata is tantamount to intentional conduct;b shows an indifference as to whether this Part is complied with; orc shows a wilful, reckless or wanton disregard of the law.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045508	entity	fournisseur externe	an association, a corporation, a fund, a joint venture, an organization, a partnership, a syndicate and a trust.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045509	subordinate	exploitant d’établissement	in respect of a particular person, includes any other person over whose activities the particular person has direction, supervision or control whether or not the other person is an employee of the particular person or of another person, except that, if the particular person is a member of a partnership, the other person is not a subordinate of the particular person solely because the particular person is a member of the partnership.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045510	authorized person	fourniture en établissement	a person who is engaged or employed, or who was formerly engaged or employed, by or on behalf of Her Majesty in right of Canada to assist in carrying out the provisions of this Act;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045511	dwelling-house	fourniture de biens ou services médicaux à domicile	the whole or any part of a building or structure that is kept or occupied as a permanent or temporary residence, and includesa a building within the curtilage of a dwelling-house that is connected to it by a doorway or by a covered and enclosed passageway, andb a unit that is designed to be mobile and to be used as a permanent or temporary residence and that is being used as such a residence;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045512	judge	sage-femme	a judge of a superior court of a province or a judge of the Federal Court.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045513	custodian	municipalité	a person in whose custody a package is placed under subsection 3;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045514	lawyer	taxe exigée non admise au crédit	 in the Province of Quebec, an advocate, lawyer or notary and, in any other province, a barrister or solicitor;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045515	solicitor-client privilege	organisme à but non lucratif	the right, if any, that a person has in a superior court in the province where the matter arises to refuse to disclose an oral or documentary communication on the ground that the communication is one passing between the person and the person s lawyer in professional confidence, except that, for the purposes of this section, an accounting record of a lawyer, including any supporting invoice, voucher or cheque, shall be deemed not to be such a communication.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045516	aboriginal government	médecin	an aboriginal government as defined in subsection 21 of the Federal-Provincial Fiscal Arrangements Act;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045517	business number	organisme déterminé de services publics	the number other than a Social Insurance Number used by the Minister to identifya a registrant for the purposes of this Part,a.1 a person registered under Subdivision E of Division II, orb an applicant other than an individual for a rebate under this Part;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045518	confidential information	activités déterminées	information of any kind and in any form that relates to one or more persons and that isa obtained by or on behalf of the Minister for the purposes of this Part, orb prepared from information referred to in paragraph a,but does not include information that does not directly or indirectly reveal the identity of the person to whom it relates and, for the purposes of applying subsections 3, 6 and 7 to a representative of a government entity who is not an official, includes only the information described in paragraph 5j;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045519	contact information	pourcentage établi	in respect of a holder of a business number, means the name, address, telephone number, facsimile number and preferred language of communication of the holder, or similar information as specified by the Minister in respect of the holder, and includes such information in respect of one or morea trustees of the holder, if the holder is a trust,b members of the holder, if the holder is a partnership,c officers of the holder, if the holder is a corporation, ord officers or members of the holder, in any other case;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045520	corporate information	pourcentage provincial établi	in respect of a holder of a business number that is a corporation, means the name including the number assigned by the incorporating authority, date of incorporation, jurisdiction of incorporation and any information on the dissolution, reorganization, amalgamation, winding-up or revival of the corporation;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045521	court of appeal	période de demande	the meaning assigned by the definition of that expression in section 2 of the Criminal Code;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045522	government entity	organisme à but non lucratif admissible	a a department or agency of the government of Canada or of a province,b a municipality,c an aboriginal government,d a corporation all of the shares except directors  qualifying shares of the capital stock of which are owned by one or more persons each of which isi Her Majesty in right of Canada,ii Her Majesty in right of a province,iii a municipality, oriv a corporation described in this paragraph, ore a board or commission, established by Her Majesty in right of Canada or Her Majesty in right of a province, that performs an administrative or regulatory function of government, or by a municipality, that performs an administrative or regulatory function of a municipality;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045523	official	personne déterminée	a person who is employed in the service of, who occupies a position of responsibility in the service of, or who is engaged by or on behalf of, Her Majesty in right of Canada or a province, or a person who was formerly so employed, who formerly occupied such a position or who formerly was so engaged;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045524	registration information	bien déterminé	in respect of a holder of a business number, meansa any information pertaining to the legal form of the holder,b the type of activities carried on or proposed to be carried on by the holder,c each date on whichi the business number was issued to the holder,ii the holder began activities,iii the holder ceased or resumed activities, oriv the business number assigned to the holder was changed, andd the reasons for the cessation, resumption or change referred to in subparagraph ciii or iv;	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045525	assessment date	période de demande	in respect of an authorization under subsection 2, means the day immediately before the hearing date.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045526	hearing date	entité de la Légion	in respect of an authorization under subsection 2, means the day on which a judge hears the application for the authorization.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045527	offering memorandum	participant actif	in respect of an offer to sell interests in a limited partnership to the prospective subscribers, means one or more documents in writing that set outa all facts concerning the limited partnership and its activities or proposed activities that significantly affect, or could reasonably be expected to have a significant effect on, the value of those interests;b the price at which those interests are being offered; andc the date on which ownership of the interests in the partnership are to be transferred to persons who subscribe to the offering.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045528	subscription price	période de demande	for an interest in a limited partnership, means the consideration payable for the interest as set out in the offering memorandum.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045529	retail sales tax	cotisation RPAC de salarié	a general retail sales tax imposed under an Act of the legislature of a province at a percentage rate on all goods other than those specifically enumerated in that Act.	https://laws-lois.justice.gc.ca/eng/acts/E-15/FullText.html	'Excise Tax Act: R.S.C.: , 1985, c. E-15'
GCDE:0045530	disability policy	police d’assurance-invalidité	a group disability insurance policy that provides for periodic payments to individuals in respect of the loss of remuneration from an office or employment.	https://laws-lois.justice.gc.ca/eng/acts/I-3.3/FullText.html	'Income Tax Act: R.S.C.: , 1985, c. 1 (5th Supp.)'
GCDE:0045531	qualifying person	personne admissible	a person licensed or otherwise authorized under the laws of a province to provide funeral or cemetery services with respect to individuals;	https://laws-lois.justice.gc.ca/eng/acts/I-3.3/FullText.html	'Income Tax Act: R.S.C.: , 1985, c. 1 (5th Supp.)'
GCDE:0045532	investment contract	contrat de placement	in relation to a taxpayer, means any debt obligation other thana a salary deferral arrangement or a plan or arrangement that, but for any of paragraphs a, b and d to l of the definition salary deferral arrangement in subsection 2481, would be a salary deferral arrangement,b a retirement compensation arrangement or a plan or arrangement that, but for any of paragraphs a, b, d and f to n of the definition retirement compensation arrangement in subsection 2481, would be a retirement compensation arrangement,c an employee benefit plan or a plan or arrangement that, but for any of paragraphs a to e of the definition employee benefit plan in subsection 2481, would be an employee benefit plan,d a foreign retirement arrangement,d.1 a TFSA,e an income bond,f an income debenture,g [Repealed, 2023, c. 26, s. 4]h [Repealed, 2023, c. 26, s. 4]i an obligation in respect of which the taxpayer has otherwise than because of subsection 4 at periodic intervals of not more than one year, included, in computing the taxpayer s income throughout the period in which the taxpayer held an interest in, or for civil law a right in, the obligation, the income accrued on it for those intervals,j an obligation in respect of a net income stabilization account,k an indexed debt obligation, andl a prescribed contract.	https://laws-lois.justice.gc.ca/eng/acts/I-3.3/FullText.html	'Income Tax Act: R.S.C.: , 1985, c. 1 (5th Supp.)'
GCDE:0045533	exempt policy	police exonérée	the meaning prescribed by regulation.	https://laws-lois.justice.gc.ca/eng/acts/I-3.3/FullText.html	'Income Tax Act: R.S.C.: , 1985, c. 1 (5th Supp.)'
GCDE:0045534	appropriate minister	ministre compétent	the Canadian Maritime Commission, the Minister of Industry, Trade and Commerce, the Minister of Regional Industrial Expansion, the Minister of Industry, Science and Technology or the Minister of Industry or any other minister or body that was or is legally authorized to perform the act referred to in the provision in which this expression occurs at the time the act was or is performed;	https://laws-lois.justice.gc.ca/eng/acts/I-3.3/FullText.html	'Income Tax Act: R.S.C.: , 1985, c. 1 (5th Supp.)'
GCDE:0045535	conversion cost	frais de conversion	in respect of a vessel, means the cost of a conversion;	https://laws-lois.justice.gc.ca/eng/acts/I-3.3/FullText.html	'Income Tax Act: R.S.C.: , 1985, c. 1 (5th Supp.)'
GCDE:0045536	vessel	navire	a vessel as defined in the Canada Shipping Act.	https://laws-lois.justice.gc.ca/eng/acts/I-3.3/FullText.html	'Income Tax Act: R.S.C.: , 1985, c. 1 (5th Supp.)'
GCDE:0045537	funder	bailleur de fonds	in respect of a funding arrangement, meansa if the funding arrangement is described in paragraph a of the definition funding arrangement, the immediate funder;b if the funding arrangement is described in paragraph b of the definition funding arrangement, the creditor in respect of the debt or other obligation or the grantor of the specified right, as the case may be; andc a person or partnership that does not deal at arm s length with a person or partnership referred to in paragraph a or b.	https://laws-lois.justice.gc.ca/eng/acts/I-3.3/FullText.html	'Income Tax Act: R.S.C.: , 1985, c. 1 (5th Supp.)'
GCDE:0045538	funding arrangement	mécanisme de financement	a the shareholder debt; andb each debt or other obligation or specified right, owing by or granted to a funder, in respect of a particular funding arrangement, if the debt or other obligation or specified right meets the conditions in subparagraph 2.16ci or ii in respect of a funding arrangement.	https://laws-lois.justice.gc.ca/eng/acts/I-3.3/FullText.html	'Income Tax Act: R.S.C.: , 1985, c. 1 (5th Supp.)'
GCDE:0045539	controlled foreign affiliate	société étrangère affiliée contrôlée	at any time, of a taxpayer resident in Canada, meansa a foreign affiliate of the taxpayer that is, at that time, controlled by the taxpayer, orb a foreign affiliate of the taxpayer that would, at that time, be controlled by the taxpayer if the taxpayer ownedi all of the shares of the capital stock of the foreign affiliate that are owned at that time by the taxpayer,ii all of the shares of the capital stock of the foreign affiliate that are owned at that time by persons who do not deal at arm s length with the taxpayer,iii all of the shares of the capital stock of the foreign affiliate that are owned at that time by the persons each of whom is referred to in this definition as a  relevant Canadian shareholder , in any set of persons not exceeding four which set of persons shall be determined without reference to the existence of or the absence of any relationship, connection or action in concert between those persons, whoA are resident in Canada,B are not the taxpayer or a person described in subparagraph ii, andC own, at that time, shares of the capital stock of the foreign affiliate, andiv all of the shares of the capital stock of the foreign affiliate that are owned at that time by persons who do not deal at arm s length with any relevant Canadian shareholder;	https://laws-lois.justice.gc.ca/eng/acts/I-3.3/FullText.html	'Income Tax Act: R.S.C.: , 1985, c. 1 (5th Supp.)'
GCDE:0045540	exempt loan or transfer	prêt ou transfert de biens exclu	a a loan made by a corporation resident in Canada where the interest rate charged on the loan is not less than the interest rate that a lender and a borrower would have been willing to agree to if they were dealing at arm s length with each other at the time the loan was made;b a transfer of property other than a transfer of property made for the purpose of acquiring shares of the capital stock of a foreign affiliate of a corporation or a foreign affiliate of a person resident in Canada with whom the corporation was not dealing at arm s length or payment of an amount owing by a corporation resident in Canada pursuant to an agreement made on terms and conditions that persons who were dealing at arm s length at the time the agreement was entered into would have been willing to agree to;c a dividend paid by a corporation resident in Canada on shares of a class of its capital stock; andd a payment made by a corporation resident in Canada on a reduction of the paid-up capital in respect of shares of a class of its capital stock not exceeding the total amount of the reduction.	https://laws-lois.justice.gc.ca/eng/acts/I-3.3/FullText.html	'Income Tax Act: R.S.C.: , 1985, c. 1 (5th Supp.)'
GCDE:0045541	non-discretionary trust	fiducie non discrétionnaire	at any time, means a trust in which all interests were vested indefeasibly at the beginning of the trust s taxation year that includes that time.	https://laws-lois.justice.gc.ca/eng/acts/I-3.3/FullText.html	'Income Tax Act: R.S.C.: , 1985, c. 1 (5th Supp.)'
